,driver_id,customer_id,rating
3746,779064,6044772,5
3763,1439700,42426920,5
3784,1146264,47246960,0
3795,929852,38943888,4
3841,1859200,31083396,4
3850,632716,47321072,0
3856,567392,47726340,5
3867,1435972,51553956,5
3902,658704,35107208,5
3906,1840356,20390760,0
3910,955384,54380892,0
3912,687444,25243352,0
3926,1808048,4431980,3
3940,1850832,35229404,5
3956,1812244,55475728,3
3976,1364084,30770760,5
3981,1816156,675648,5
3998,1405940,58263212,5
4024,1212452,38381784,5
4032,693540,9317276,5
4081,1715132,15259348,5
4097,694412,45207620,0
4106,617484,14779224,5
4118,1836780,39963024,4
4129,1130820,41133964,5
4170,1900056,18717160,5
4188,1701708,41982016,5
4194,903760,18015288,0
4208,885620,14026840,5
4216,1711304,12340392,4
4218,1181696,29240708,5
4233,667820,5402056,5
4237,1837144,51335556,5
4245,1684248,24830044,0
4246,1853320,13925960,5
4251,1980048,32002004,5
4253,1271696,2950496,5
4270,1684752,29240708,0
4271,625300,15288340,5
4278,1481608,48288688,4
4317,1799496,24408920,5
4328,987428,37678652,5
4337,658704,5949676,0
4374,1365876,45964720,5
4391,1349064,50533156,0
4397,758276,55002040,5
4399,1815664,18163472,5
4415,1808048,39329796,5
4436,1665612,11091300,5
4449,1776368,15508980,5
4458,1890732,52673096,0
4462,1394492,41502200,5
4476,1884336,28085660,5
4483,974140,14261344,5
4491,1375008,45203872,4
4501,1263056,56379096,0
4520,1440252,55590932,5
4527,1793988,31083396,0
4530,1871196,29667444,5
4575,1700268,55507476,0
4577,1809136,38368792,4
4589,827312,35765052,5
4599,947592,45158536,5
4628,1275092,40242284,5
4638,534264,21798156,5
4653,1545032,32502892,5
4664,1146716,56439424,0
4665,522740,31475332,5
4717,1738988,49911424,0
4719,1760900,7487028,5
4736,1845764,39306988,5
4800,1941896,54459756,5
4801,1405824,31376696,5
4815,1122548,33246696,5
4822,1806584,54940144,5
4824,1861092,48181304,0
4833,745544,7535528,5
4854,1281396,7861844,0
4863,1862008,22818472,0
4868,1660320,21226936,0
